"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Diasumsikan user sudah berada pada halaman awal, user dapat melihat ""Swag Labs""","","Fri May 02 12:43:00 ICT 2025","passed","Fri May 02 12:43:00 ICT 2025","","login online shop: Sebagai pengguna saya tidak dapat login dengan akun yang salah (negative case)","",""
"","1","hook:","","Fri May 02 12:43:01 ICT 2025","failed","Fri May 02 12:43:01 ICT 2025","","","",""
"","1","Dan user menekan tombol login","","Fri May 02 12:43:00 ICT 2025","skipped","Fri May 02 12:43:00 ICT 2025","","login online shop: Sebagai pengguna saya dapat login dengan benar (positive case)","",""
"","169","Dan user menekan tombol login","","Fri May 02 12:43:01 ICT 2025","passed","Fri May 02 12:43:01 ICT 2025","","login online shop: Sebagai pengguna saya tidak dapat login dengan akun yang salah (negative case)","",""
"","4","Ketika saya login melakukan pengisian standard_user dan secret_sauce","","Fri May 02 12:43:00 ICT 2025","broken","Fri May 02 12:43:00 ICT 2025","","login online shop: Sebagai pengguna saya dapat login dengan benar (positive case)","",""
"","5","Maka user dapat melihat pesan Epic sadface: Username and password do not match any user in this service","","Fri May 02 12:43:01 ICT 2025","broken","Fri May 02 12:43:01 ICT 2025","","login online shop: Sebagai pengguna saya tidak dapat login dengan akun yang salah (negative case)","",""
"","1","Maka user dapat melihat pesan Products","","Fri May 02 12:43:00 ICT 2025","skipped","Fri May 02 12:43:00 ICT 2025","","login online shop: Sebagai pengguna saya dapat login dengan benar (positive case)","",""
"","2","hook:","","Fri May 02 12:43:02 ICT 2025","failed","Fri May 02 12:43:02 ICT 2025","","","",""
"","223","Diasumsikan user sudah berada pada halaman awal, user dapat melihat ""Swag Labs""","","Fri May 02 12:43:00 ICT 2025","passed","Fri May 02 12:43:00 ICT 2025","","login online shop: Sebagai pengguna saya dapat login dengan benar (positive case)","",""
"","590","Ketika saya login melakukan standard_user dan secret_sauasce","","Fri May 02 12:43:00 ICT 2025","passed","Fri May 02 12:43:01 ICT 2025","","login online shop: Sebagai pengguna saya tidak dapat login dengan akun yang salah (negative case)","",""
